dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723569,TYB0053,Tumor,-0.568684614733795,0.544291378341363,0.779239870701186
GSE29272,GSM723570,TYB0054,Normal,0.512775075559887,2.15220196656432,1.07009918516397
GSE29272,GSM723571,TYB0054,Tumor,-0.0332895045489871,0.259929205367959,0.884996305282435
GSE29272,GSM723572,TYB0055,Normal,1.09846368562522,0.680710333163292,0.174255171316277
GSE29272,GSM723573,TYB0055,Tumor,-0.236332982542239,0.572245699238137,1.03498496467595
GSE29272,GSM723574,TYB0056,Normal,1.03034778161814,0.856263526495259,-0.0699515660711685
GSE29272,GSM723575,TYB0056,Tumor,-0.745335481149088,-0.342861534184216,-0.0567705564562488
GSE29272,GSM723576,TYB0057,Normal,1.27134765112637,0.561633575667928,-0.596559731197322
GSE29272,GSM723577,TYB0057,Tumor,-0.429187330533717,0.822599851744615,1.31700191384738
GSE29272,GSM723578,TYB0058,Normal,1.04630114142734,1.0443633084147,0.87530629469586
GSE29272,GSM723579,TYB0058,Tumor,-0.689648889226359,-0.394522099009886,0.848556595861164
GSE29272,GSM723580,TYB0059,Normal,1.09037544580593,0.2117499264697,-0.232077563820165
GSE29272,GSM723581,TYB0059,Tumor,1.16965769503038,0.489989379421382,0.53947030213387
GSE29272,GSM723582,TYB0060,Normal,0.833682774661944,0.441539299040024,0.792119948786744
GSE29272,GSM723583,TYB0060,Tumor,0.826627521483678,0.417412555026841,0.788541652981306
GSE29272,GSM723584,TYB0061,Normal,1.15052432843067,0.540337621325664,0.10379910169702
GSE29272,GSM723585,TYB0061,Tumor,-0.624106456456888,-0.6031092030959,-2.49437701201765
GSE29272,GSM723586,TYB0062,Normal,1.23692904527702,0.514379032454562,0.0181619433900966
GSE29272,GSM723587,TYB0062,Tumor,-0.666792437977217,0.193008345424071,1.07869095604087
GSE29272,GSM723588,TYB0063,Normal,1.30171027032021,0.550732337857502,0.0217676077643328
GSE29272,GSM723589,TYB0063,Tumor,0.178026597520375,0.593592425770758,1.56889342884549
GSE29272,GSM723590,TYB0064,Normal,0.970626895433174,0.648625207768031,0.198743259983585
GSE29272,GSM723591,TYB0064,Tumor,-0.551185561743932,0.0449396420846409,1.34514374541617
GSE29272,GSM723592,TYB0065,Normal,1.33979123382746,0.997956077777174,0.384834137792508
GSE29272,GSM723593,TYB0065,Tumor,0.187768609868486,0.841665853066083,0.764089457947435
GSE29272,GSM723594,TYB0066,Normal,0.942608295365376,0.327786756423776,0.18994442012765
GSE29272,GSM723595,TYB0066,Tumor,-0.603447267599497,0.236568342530202,1.06490621109067
GSE29272,GSM723596,TYB0067,Normal,1.24807166588622,0.652720842298571,-0.0503112476551937
GSE29272,GSM723597,TYB0067,Tumor,0.244355571359185,1.08136543876067,1.01701843604495
GSE29272,GSM723598,TYB0068,Normal,0.880612005132868,1.76336508951958,0.997018428979015
GSE29272,GSM723599,TYB0068,Tumor,-0.223715226458757,0.56528383675938,1.17503659371748
GSE29272,GSM723600,TYB0069,Normal,1.19969270292221,0.156438399479964,0.200838434356584
GSE29272,GSM723601,TYB0069,Tumor,-0.110097190945875,0.0592837153721435,1.56743399526753
GSE29272,GSM723602,TYB0070,Normal,1.26511451174514,0.720591157068397,0.305172400269212
GSE29272,GSM723603,TYB0070,Tumor,-0.768935559052365,-0.110360418553045,0.877917734015729
GSE29272,GSM723604,TYB0071,Normal,1.15745763489469,0.361040615829769,-1.01779068876237
GSE29272,GSM723605,TYB0071,Tumor,-0.672688814586105,-1.08453900712163,-2.92370881905406
GSE29272,GSM723606,TYB0072,Normal,0.755650322446848,0.639236137239198,0.609983094559232
