Patient,Sample,Tissue,Type,n_cells,module_score,module_score_median
P180308,180308T,Tumor,Endothelial,351,-0.0652609328661761,-0.0770511386826858
P180605,180605T,Tumor,Endothelial,40,-0.0997251561751187,-0.105240054416019
P180606,180606T,Tumor,Endothelial,23,-0.0971712943067652,-0.120845843792006
P180608,180608N,Normal,Endothelial,145,-0.0729099342222736,-0.0907291309082144
P180611,180611N,Normal,Endothelial,45,-0.0461527543403851,-0.0478892469488263
P180611,180611T,Tumor,Endothelial,36,-0.0892605356577296,-0.109666089084616
P181019,181019N,Normal,Endothelial,1646,-0.0365387457233882,-0.0625204513972148
P181025,181025N,Normal,Endothelial,173,0.00761992917501524,-0.0189814449012049
P181217,181217T,Tumor,Endothelial,36,-0.0281173501235777,-0.0383471840487913
P181227,181227N,Normal,Endothelial,95,-0.0195463846416676,-0.0356834839484092
P181227,181227T,Tumor,Endothelial,138,-0.0609154313837026,-0.0705081847843187
P190103,190103N,Normal,Endothelial,21,-0.0172201972911035,-0.0504934688022153
P190103,190103T,Tumor,Endothelial,185,-0.0917724300975783,-0.104600654280708
P190118,190118T,Tumor,Endothelial,45,-0.0175447638735525,-0.0365936584267214
P190123,190123T,Tumor,Endothelial,38,0.0673081154610015,0.0419406887040367
P190124,190124T,Tumor,Endothelial,32,0.0450504618949296,-0.00511846050805246
P171012,171012T,Tumor,B,741,-0.128163402496953,-0.148617177539994
P171218,171218N,Normal,B,205,-0.0991042703928413,-0.112368622458861
P171218,171218T,Tumor,B,30,-0.113009674010227,-0.123821044910484
P180116,180116N,Normal,B,28,-0.0610458387068579,-0.071615212083569
P180116,180116T,Tumor,B,28,-0.0962684913615912,-0.105940352067225
P180118,180118N,Normal,B,248,-0.104632664574658,-0.116368299048093
P180118,180118T,Tumor,B,74,-0.11652083089927,-0.131273790772874
P180123,180123N,Normal,B,441,-0.110576871502981,-0.116368299048093
P180123,180123T,Tumor,B,401,-0.0956053111509764,-0.105940352067225
P180124,180124N,Normal,B,570,-0.107329951554728,-0.116368299048093
P180124,180124T,Tumor,B,2424,-0.112054084575368,-0.116368299048093
P180129,180129T,Tumor,B,108,-0.0150946668615832,-0.0500574992855344
P180308,180308T,Tumor,B,86,-0.121976251887588,-0.148617177539994
P180605,180605T,Tumor,B,96,-0.113897499873771,-0.122099257985407
P180606,180606T,Tumor,B,310,-0.109933950305466,-0.148617177539994
P180608,180608T,Tumor,B,71,-0.117140024287479,-0.138189230559126
P181019,181019T,Tumor,B,368,-0.0739342604109449,-0.0894505410576291
P181025,181025N,Normal,B,157,-0.0584405609008835,-0.0707073590890951
P181025,181025T,Tumor,B,242,-0.0647496620795359,-0.0841194205561915
P181026,181026T,Tumor,B,24,-0.0907457837305502,-0.103949976422947
P181217,181217T,Tumor,B,219,-0.0741566417919648,-0.0975039136576814
P181227,181227N,Normal,B,46,-0.0912408061895416,-0.102932250605834
P190118,190118T,Tumor,B,197,-0.0728191794110375,-0.0841194205561915
P190123,190123N,Normal,B,31,-0.0408616795352701,-0.0748413198345653
P190123,190123T,Tumor,B,36,-0.0489407459321791,-0.0698209160389348
P190124,190124N,Normal,B,24,-0.0295620611072187,-0.0419045396286173
P190124,190124T,Tumor,B,23,-0.00593538377130058,-0.0587161613131895
P171116,171116N,Normal,Mast,27,-0.0792114667625432,-0.0941031461283518
P171116,171116T,Tumor,Mast,163,-0.0573274827699652,-0.0694001828025382
P171218,171218T,Tumor,Mast,67,-0.0929634701746629,-0.103794706680832
P180308,180308T,Tumor,Mast,28,-0.0932487533517867,-0.10737410516466
P181217,181217T,Tumor,Mast,50,-0.0699110168058769,-0.0764325341844501
P181227,181227N,Normal,Mast,202,-0.124298876659052,-0.148617177539994
P181227,181227T,Tumor,Mast,86,-0.0473350780118507,-0.0767640911890287
P190103,190103N,Normal,Mast,218,-0.122431385263843,-0.148617177539994
P190103,190103T,Tumor,Mast,56,-0.0549926402097183,-0.0710014085653175
P190118,190118T,Tumor,Mast,75,-0.0120580591938784,-0.0398656074298502
P190123,190123N,Normal,Mast,24,-0.0868092515765472,-0.0885554460959559
P190123,190123T,Tumor,Mast,90,-0.0381967598956291,-0.0527117584250118
P190124,190124N,Normal,Mast,41,-0.0504327223857285,-0.0625877312742736
P190124,190124T,Tumor,Mast,63,0.010127583016747,-0.0296316713107867
