gene,log2FoldChange,padj,status
EIF6,0.745345755343284,1,Not significant
ZNF267,0.744540145059701,1,Not significant
DNM1,0.741124516328359,1,Not significant
FAT1,0.740873540052239,1,Not significant
FUT1,-0.740255890074627,1,Not significant
RNASE6,0.740101998679104,1,Not significant
SEC61G,0.73993663011194,1,Not significant
AGPS,0.738846375641792,1,Not significant
CSE1L,0.737361920468284,1,Not significant
HN1,0.736763164731343,1,Not significant
FKBP10,0.735124425268656,1,Not significant
ROBO1,0.734731132216418,1,Not significant
GATA4,-0.733201644507463,1,Not significant
TFDP1,0.731763099906717,1,Not significant
BANF1,0.731499484768656,1,Not significant
FAM50A,0.731313260104477,1,Not significant
TUBB,0.73089126527114,1,Not significant
UBQLN2,0.730286376201492,1,Not significant
PTER,-0.729320965149254,1,Not significant
TAP1,0.728668469097015,1,Not significant
ALCAM,-0.727840604966418,1,Not significant
FAM60A,0.727755277910448,1,Not significant
TUBA4A,0.727665798231343,1,Not significant
MAP4K4,0.726740901947761,1,Not significant
KRT23,0.725947036514925,1,Not significant
B4GALT5,0.725011818544777,1,Not significant
ANXA2,0.724970277487564,1,Not significant
TM4SF1,0.723928502007463,1,Not significant
MCM6,0.723903567514925,1,Not significant
DOCK4,0.721994508619403,1,Not significant
EDNRA,0.721910579753732,1,Not significant
RNASE1,-0.721630333738806,1,Not significant
MSN,0.721535264820895,1,Not significant
CDC6,0.72145032613806,1,Not significant
ANKRD10,0.721252986425373,1,Not significant
DGKZ,0.719876776343284,1,Not significant
TRIM31,0.719387697089552,1,Not significant
PDGFRB,0.718816662477612,1,Not significant
SLC38A6,0.717876872865672,1,Not significant
MSH2,0.717244132552239,1,Not significant
PSMD2,0.716253313820895,1,Not significant
A2M,0.715636152768657,1,Not significant
COA3,-0.715373168925373,1,Not significant
NR3C2,-0.714341025014925,1,Not significant
ZWILCH,0.713768713447761,1,Not significant
ITM2A,-0.713560389238806,1,Not significant
CSGALNACT2,0.712644918847015,1,Not significant
BARD1,0.712523345052239,1,Not significant
GALE,-0.711753541731343,1,Not significant
LDHB,-0.711664249895523,1,Not significant
AQP1,0.711402818552239,1,Not significant
PBK,0.711110879783582,1,Not significant
TPBG,0.710642960268657,1,Not significant
HSPE1,0.710256561925373,1,Not significant
AHCY,0.709757253365672,1,Not significant
SMC4,0.709608224348259,1,Not significant
CETN2,0.708620224201493,1,Not significant
FAR2,0.707906999141791,1,Not significant
CTPS1,0.706655592925374,1,Not significant
PSMB9,0.706642911522388,1,Not significant
SLC28A2,-0.706311417130597,1,Not significant
GNE,0.706072605768656,1,Not significant
CBX1,0.705931264052239,1,Not significant
AUH,-0.705752718522388,1,Not significant
PTPRG,0.704367578044777,1,Not significant
NOTCH1,0.703793530171642,1,Not significant
PCOLCE,0.703736542111941,1,Not significant
CCKAR,-0.703312606085821,1,Not significant
DNAJC15,0.703166696417911,1,Not significant
PNMA1,0.702873926052239,1,Not significant
DPY19L1,0.702437119067164,1,Not significant
PLK2,0.70165787419403,1,Not significant
CBFB,0.701295759981344,1,Not significant
SLC52A2,0.701261275552239,1,Not significant
CTSK,0.701115262007463,1,Not significant
THBS1,0.70089038439403,1,Not significant
PSMB3,0.70058802888806,1,Not significant
CALML4,0.70035783330597,1,Not significant
