gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
CCKBR,-1.75397051199254,7.08472435266791,-10.4734006706453,1.56864037923825e-19,6.56098363064353e-17,-24.3643957481146,1.03198351859857e-51,9.71182489627806e-49,107.319109853231,Down
SOSTDC1,-1.97135268927612,7.25295680053358,-10.4531504895184,1.76677578858313e-19,7.12578535016761e-17,-21.2145872003267,3.52820624894806e-45,1.07686576133433e-42,92.3699197890631,Down
COL5A2,1.87242121364552,8.2929800811847,10.3851982537207,2.63302667201648e-19,1.02533690369249e-16,22.2890791902294,1.81600056812292e-47,9.32186109809643e-45,97.6091320919419,Up
ASPN,2.30327344788806,8.45616673837687,10.0976916323475,1.41969627964722e-18,5.34421002868535e-16,17.8456371219995,1.35438966095374e-37,1.15872139705686e-35,74.9871458287117,Up
MT1H,-1.88596468502239,11.7540777583097,-9.9146067589486,4.13813662512847e-18,1.50748312605083e-15,-21.1053538920559,6.07735686225272e-45,1.75978438578e-42,91.82906513507,Down
MT1X,-1.95354894227612,11.6037068876679,-9.85677564385645,5.79839876402134e-18,2.04629116381541e-15,-20.1937129596573,6.02784203829633e-43,1.36144840276961e-40,87.2555772108398,Down
AZGP1,-2.59424313147761,7.31813439959702,-9.67105021354252,1.70960129740478e-17,5.85046286411885e-15,-15.7372831629541,1.5285434489272e-32,5.5504312439662e-31,63.3966529627332,Down
MT1G,-1.84110876831343,9.59314663375746,-9.59841361905884,2.60701162080883e-17,8.65911242170415e-15,-21.0100335909981,9.77977406784689e-45,2.76107471370487e-42,91.355851915436,Down
CA2,-2.82290404437314,10.1553219420373,-9.41635723120799,7.48746956975482e-17,2.41588553860689e-14,-14.5819375371347,1.10010196175496e-29,2.4503849021891e-28,56.8412852251591,Down
ALDH3A1,-2.13411989669403,8.04097091862314,-9.40887909880875,7.81844228998902e-17,2.45260191057905e-14,-17.7050734661201,2.89429596882297e-37,2.33466316970842e-35,74.2307521940834,Down
MT1E,-1.75917273094403,11.295491377931,-9.1461467261888,3.55767651337541e-16,1.08586056393374e-13,-21.1936641795826,3.91506286634613e-45,1.16349486709597e-42,92.2664402630331,Down
COL3A1,1.74125593466667,10.9494128690597,9.07945011804178,5.21887927287767e-16,1.5509685165423e-13,21.3281886352244,2.00743118070323e-45,6.66762362461221e-43,92.9307850593375,Up
TFF1,-3.14445332554477,11.4800664341082,-9.07108200235059,5.47566217523394e-16,1.58555520371582e-13,-13.3011027233873,1.85263521311623e-26,2.48477547051325e-25,49.4398451188264,Down
MUC6,-2.03054937210448,8.43726646320149,-9.03029775280293,6.91890437427058e-16,1.95337967746594e-13,-17.7929034049341,1.80031481286338e-37,1.51723546131837e-35,74.7036621625551,Down
OLFML2B,1.8370970146791,7.48921388181717,8.93476161990675,1.19567709009448e-15,3.29336131181388e-13,19.6082695445908,1.2198692775235e-41,2.11938211554967e-39,84.2623333562904,Up
MEST,1.75860027430597,8.39402062203358,8.88533567389726,1.58593820074104e-15,4.26428573832586e-13,20.5981388125809,7.74218295720021e-44,1.94294382523693e-41,89.2976393371192,Up
LTF,-2.67363531399254,9.61444808968284,-8.7223227540811,4.01477882556641e-15,1.05439295993306e-12,-13.933925712717,4.64548600660763e-28,8.12097112579257e-27,53.1118202334454,Down
SULT1C2,-2.42599329887562,8.82444154762189,-8.64140174081867,6.35588606920645e-15,1.63129594044428e-12,-14.7013192366669,5.54172089323402e-30,1.29570712313233e-28,57.524508589379,Down
REG1A,-2.9051269497388,10.2504701225784,-8.36364232857256,3.04821003429255e-14,7.64965242605905e-12,-12.7537132000802,4.58084516773394e-25,5.02735514861218e-24,46.2447228505269,Down
CHGA,-1.63201798433582,9.04752591051866,-8.35315822861714,3.23308917675487e-14,7.9372339289332e-12,-21.5698046463538,6.08247876002277e-46,2.14654476990429e-43,94.1181987972441,Down
SPARC,1.64120373851119,9.68266023852799,8.29452879739852,4.49208481357196e-14,1.07934284680145e-11,21.2303997214476,3.26153126819619e-45,1.02312423921499e-42,92.4480870646865,Up
